[(68, 95), (67, 142), (68.0, 79), (67, 87), (67, 74), (67, 133), (67, 56), (68, 22), (68, 55), (67.0, 20), 'problem11.mat']

[(64, 21), (66.0, 23), (63, 49), (62.0, 95), (63, 70), (65, 95), (65, 58), (64, 139), (63, 63), (66, 9), 'problem12.mat']

[(60, 165), (60, 132), (60, 168), (61, 26), (61, 16), (59, 142), (60, 22), (59, 66), (57, 126), (58, 110), 'problem13.mat']

[(55.0, 15), (56, 57), (55, 54), (56, 20), (56, 41), (55.0, 66), (55, 40), (55, 39), (54, 115), (55, 194), '\problem14.mat']

[(55, 39), (56, 8), (55, 35), (55, 11), (55, 15), (55, 46), (55, 94), (55, 76), (55, 64), (55, 17), 'problem21.mat']

[(49, 17), (49, 167), (50, 50), (49, 17), (48.0, 141), (50, 45), (48.0, 35), (48, 94), (50.0, 32), (48, 117), 'problem22.mat']

[(45, 14), (45, 11), (44.0, 134), (45.0, 13), (44, 17), (45, 20), (45, 18), (45.0, 18), (45.0, 9), (45, 5), 'problem23.mat']

[(42, 26), (44.0, 25), (43, 79), (43, 48), (42, 13), (42.0, 133), (42, 27), (43, 27), (43, 31), (43, 62), 'problem24.mat']

[(44, 8), (43, 18), (43.0, 9), (44, 7), (43.0, 13), (43, 51), (42.0, 77), (43, 26), (42, 185), (44, 15), 'problem31.mat']

[(40, 39), (40, 21), (40.0, 29), (40, 65), (40, 27), (41, 46), (40.0, 34), (39, 69), (40, 44), (39, 111), 'problem32.mat']

[(36, 20), (35, 106), (36, 44), (35, 123), (37, 15), (35, 56), (36, 10), (35, 37), (36, 13), (35, 54), 'problem33.mat']

[(34, 110), (35.0, 25), (34, 19), (34, 17), (34, 18), (34.0, 19), (34, 62), (34, 118), (35.0, 145), (34, 54), 'problem34.mat']

[(32, 8), (31, 183), (31, 178), (32, 5), (32, 6), (31, 7), (31, 68), (31, 19), (32, 13), (32.0, 7), 'problem35.mat']

[(47, 5), (47.0, 4), (47.0, 4), (47.0, 7), (47.0, 6), (47, 5), (47.0, 4), (47.0, 5), (47, 6), (47, 8), 'problem41.mat']

[(40.0, 28), (40, 33), (40, 137), (41, 37), (41.0, 37), (40, 13), (40, 59), (40, 39), (40, 110), (40, 19), 'problem42.mat']

[(38.0, 3), (37.0, 4), (38, 4), (37, 25), (37, 6), (38, 4), (37, 7), (37, 81), (37, 7), (37, 11), 'problem43.mat']

[(34, 6), (34, 6), (34, 32), (33, 65), (34.0, 5), (34.0, 6), (34, 9), (34, 6), (34.0, 3), (34, 6), 'problem44.mat']

[(35, 55), (35, 37), (35, 9), (35, 19), (35, 97), (35, 50), (35, 20), (35, 17), (36, 6), (35, 38), 'problem51.mat']

[(31.0, 9), (32.0, 3), (30, 52), (31, 42), (30.0, 22), (30, 82), (30.0, 18), (31.0, 22), (31, 34), (30, 129), 'problem52.mat']

[(23.0, 11), (24, 9), (24.0, 14), (23, 47), (23.0, 12), (25.0, 4), (24, 61), (23.0, 9), (24, 9), (24.0, 104), 'problem53.mat']

[(24, 2), (23.0, 10), (23, 14), (23, 5), (24, 4), (23.0, 26), (24, 2), (24, 5), (23, 12), (23.0, 25), 'problem54.mat']

[(21.0, 12), (21, 16), (21, 8), (20, 15), (21, 5), (20, 11), (21, 9), (21.0, 7), (21.0, 6), (21, 7), 'problem55.mat']

[(17, 17), (18, 11), (18.0, 4), (17.0, 21), (17, 5), (17, 8), (18.0, 4), (17, 7), (17, 8), (18, 16), 'problem56.mat']

[(17, 1), (17.0, 1), (17.0, 9), (17, 1), (17, 3), (17, 5), (17, 2), (17, 1), (17, 2), (17, 2), 'problem57.mat']

[(32.0, 9), (32.0, 7), (32, 7), (32, 15), (32, 11), (32.0, 12), (32.0, 14), (32.0, 4), (32, 20), (32.0, 3), 'problem61.mat']

[(26, 18), (26, 23), (27, 10), (26, 8), (26, 5), (26.0, 9), (27.0, 4), (26, 6), (26, 36), (27.0, 3), 'problem62.mat']

[(23, 11), (22.0, 12), (23, 13), (23, 9), (22, 24), (23, 8), (23, 12), (23, 10), (22, 26), (23, 11), 'problem63.mat']

[(19, 5), (18.0, 74), (18, 81), (19, 5), (18.0, 9), (18, 31), (18, 23), (19.0, 3), (19, 98), (18, 31), 'problem64.mat']

[(16, 7), (16, 21), (16.0, 8), (16, 8), (16, 18), (16, 81), (16, 38), (16.0, 14), (16, 66), (16, 93), 'problem65.mat']

[(14, 8), (14, 6), (14.0, 5), (14, 24), (14.0, 5), (14, 8), (14, 6), (14.0, 5), (14.0, 5), (14, 9), 'problem66.mat']

[(18, 3), (18.0, 3), (18, 4), (18, 64), (18, 3), (18, 3), (18, 5), (18, 5), (18, 5), (18, 5), 'problem71.mat']

[(15.0, 3), (15.0, 2), (15.0, 2), (15, 3), (15, 3), (15, 3), (15, 3), (15, 4), (15.0, 4), (15.0, 2), 'problem72.mat']

[(13, 10), (13.0, 2), (13, 45), (13, 12), (13.0, 16), (13, 46), (13.0, 4), (13, 7), (13, 15), (13, 13), 'problem73.mat']

[(11, 4), (11, 3), (11.0, 1), (11.0, 1), (11, 2), (11.0, 1), (11, 3), (11.0, 1), (11, 4), (11.0, 2), 'problem74.mat']

[(9, 3), (9, 14), (9, 7), (9, 4), (9.0, 4), (9.0, 5), (9, 2), (9, 4), (9, 4), (9, 8), 'problem75.mat']

[(15, 1), (15, 1), (15, 1), (15, 1), (15, 1), (15, 1), (15, 1), (15, 1), (15, 1), (15, 1), 'problem81.mat']

[(12, 19), (12, 91), (12, 122), (12.0, 15), (12, 120), (13, 1), (13, 1), (12, 7), (12, 100), (12, 171), 'problem82.mat']

[(9, 3), (9, 4), (9, 4), (9, 2), (9, 2), (9.0, 3), (9, 8), (9.0, 4), (9.0, 2), (9.0, 2), 'problem83.mat']

[(8, 1), (8, 1), (8, 1), (8, 1), (8, 1), (8, 1), (8, 1), (8, 1), (8, 1), (8, 1), 'problem84.mat']

[(8, 1), (7, 7), (7, 179), (8, 1), (7, 119), (7.0, 31), (7, 4), (7.0, 17), (7.0, 3), (8, 1), 'problem85.mat']

[(6, 1), (6, 1), (6, 1), (6, 1), (6, 1), (6, 1), (6, 1), (6, 1), (6, 1), (6, 1), 'problem86.mat']

[(6, 2), (6.0, 2), (5, 13), (5, 24), (5, 7), (5.0, 30), (5, 9), (5, 6), (5, 43), (6, 3), 'problem87.mat']



